row_names,topic,term,beta
1,1,Bluffing.category,0.1834359355499151
2,1,Deduction.category,0.1642243132195593
3,1,Partnerships.mechanic,0.0802260520817265
4,1,PartyGame.category,0.0663432009086957
5,1,Murder.Mystery.category,0.0486741175975656
6,1,RolePlaying.mechanic,0.0401200375818597
7,1,Voting.mechanic,0.0375958828231268
8,1,PlayerElimination.mechanic,0.0350717280643939
9,1,Betting.Wagering.mechanic,0.0331084965853795
10,1,Spies.SecretAgents.category,0.029742956907069
11,2,ScienceFiction.category,0.2510801086127793
12,2,Miniatures.category,0.1314990436189992
13,2,ActionPointAllowanceSystem.mechanic,0.0866895841414641
14,2,DiceRolling.mechanic,0.0791990476317866
15,2,ModularBoard.mechanic,0.0717085111221091
16,2,VariablePlayerPowers.mechanic,0.053918486911625
17,2,SpaceExploration.category,0.0373322989259105
18,2,Book.category,0.026765292064044
19,2,VariablePhaseOrder.mechanic,0.0223512259065555
20,2,Aliens.family,0.0128542956889287
21,3,Print.Play.category,0.173300494055211
22,3,DiceRolling.mechanic,0.127853278796675
23,3,PointtoPointMovement.mechanic,0.1208162906276114
24,3,SolitaireGames.family,0.0948673967541892
25,3,AreaMovement.mechanic,0.0922285261907903
26,3,Campaign.BattleCardDriven.mechanic,0.0777147380920965
27,3,ActionPointAllowanceSystem.mechanic,0.0522056559792408
28,3,SolitaireWargames.family,0.030215067950917
29,3,SolitairePrintandPlayContest.family,0.0077846681620266
30,3,Area.Impulse.mechanic,0.0052924015188166
31,4,Economic.category,0.1245000750740503
32,4,TilePlacement.mechanic,0.0944704549487449
33,4,Pick.upandDeliver.mechanic,0.0939244618555575
34,4,Route.NetworkBuilding.mechanic,0.0699007657553131
35,4,Transportation.category,0.0666248071961889
36,4,Trains.category,0.0525654850466141
37,4,StockHolding.mechanic,0.0490165299408962
38,4,Auction.Bidding.mechanic,0.0442390903755067
39,4,CommoditySpeculation.mechanic,0.0389156577169298
40,4,Industry.Manufacturing.category,0.0386426611703362
41,5,CardGame.category,0.3701071207162526
42,5,HandManagement.mechanic,0.1966667147244128
43,5,SetCollection.mechanic,0.0872392266547483
44,5,Trick.taking.mechanic,0.0693617450728795
45,5,TraditionalCardGames.family,0.0240913481639538
46,5,RummyGames.family,0.0115482764089329
47,5,GameSystem.category,0.0108274102161156
48,5,SheddingGames.family,0.0093856778304811
49,5,UNO.family,0.0088089848762272
50,5,ClimbingGames.family,0.0060696933435215
51,6,Wargame.category,0.256986494357974
52,6,Hex.and.Counter.mechanic,0.2065943295268283
53,6,Napoleonic.category,0.0640874547892876
54,6,AmericanCivilWar.category,0.0456645128080085
55,6,Magazine.Strategy.Tactics.family,0.037536744286856
56,6,Chit.PullSystem.mechanic,0.0273770336354153
57,6,AgeofReason.category,0.025616017122499
58,6,CivilWar.category,0.0199265791576922
59,6,Magazine.VaeVictis.family,0.0178946370274041
60,6,Country.Spain.family,0.0139662155755137
61,7,Wargame.category,0.2226407640975719
62,7,DiceRolling.mechanic,0.1062485010087329
63,7,Simulation.mechanic,0.0890365542246864
64,7,ModernWarfare.category,0.0697083844753883
65,7,SecretUnitDeployment.mechanic,0.0613845741453986
66,7,Miniatures.category,0.0574342912769289
67,7,WorldWarI.category,0.0461477687955869
68,7,Aviation.Flight.category,0.0437493827683018
69,7,Hex.and.Counter.mechanic,0.0416331598030501
70,7,AreaMovement.mechanic,0.0259731098601881
71,8,Auction.Bidding.mechanic,0.134906460969462
72,8,Trading.mechanic,0.1308533140808855
73,8,SetCollection.mechanic,0.1270534888728452
74,8,Economic.category,0.1251535762688249
75,8,Negotiation.category,0.1242669503869488
76,8,Roll.SpinandMove.mechanic,0.099568086534686
77,8,Monopoly.family,0.0513103063925726
78,8,Country.USA.family,0.0176185228812808
79,8,USA..family,0.0135653759927043
80,8,StockHolding.mechanic,0.0119187850692201
81,9,Action.Dexterity.category,0.2279015010301187
82,9,Children.sGame.category,0.1257305433700999
83,9,PatternRecognition.mechanic,0.1030258861123179
84,9,Real.time.category,0.0925144707151967
85,9,Puzzle.category,0.0636431164244369
86,9,3DGames.family,0.0500483525108267
87,9,Food.Cooking.family,0.035192218749562
88,9,Electronic.category,0.0312679570013034
89,9,PatternBuilding.mechanic,0.0269232386371599
90,9,MarbleGames.family,0.0179534974982831
91,10,Ancient.category,0.1169325624014433
92,10,Fighting.category,0.1119603358383884
93,10,VariablePlayerPowers.mechanic,0.0973277833813982
94,10,CollectibleComponents.category,0.0724666505661235
95,10,ComicBook.Strip.category,0.0525777443139037
96,10,Mythology.category,0.0490261539117216
97,10,CCGs.CollectibleCardGames..family,0.0447642454291031
98,10,Fantasy.category,0.0426332911877938
99,10,VideoGameTheme.category,0.0414967822590956
100,10,AncientRome.family,0.0360983648477788
101,11,PartyGame.category,0.2810492721616999
102,11,Humor.category,0.1216116130943563
