game.id,details.name,details.yearpublished,details.minplayers,details.maxplayers,details.playingtime,details.minage,stats.average,stats.bayesaverage,stats.numcomments,stats.usersrated,topic
1,Die Macher,1986.0,2.0,5.0,127.5,14.0,7.66508,7.29168,102.5,234.0,Monopoly-inspired
2,Dragonmaster,1981.0,2.0,4.0,30.0,12.0,6.60815,5.8715,102.5,234.0,Traditional Card Games
3,Samurai,1998.0,2.0,4.0,60.0,10.0,7.44119,7.28295,102.5,234.0,Area Control Games
4,Tal der Könige,1992.0,2.0,4.0,60.0,12.0,6.60675,5.76636,102.5,234.0,Corporate Strategy Games
5,Acquire,1972.0,2.0,6.0,90.0,12.0,7.3583,7.21895,102.5,234.0,Corporate Strategy Games
6,Mare Mediterraneum,1989.0,2.0,6.0,127.5,12.0,6.52534,5.5725,26.0,73.0,Area Control Games
7,Cathedral,1978.0,2.0,2.0,15.0,8.0,6.50534,6.21877,102.5,234.0,Abstract Strategy Games
8,Lords of Creation,1993.0,2.0,5.0,120.0,12.0,6.14538,5.60857,82.0,186.0,Dexterity Games
9,El Caballero,1998.0,2.0,4.0,90.0,13.0,6.51776,6.07659,102.5,234.0,Modern Wargames
10,Elfenland,1998.0,2.0,6.0,60.0,10.0,6.74996,6.58428,102.5,234.0,Modern Card Games
11,Bohnanza,1997.0,2.0,7.0,45.0,13.0,7.06751,6.9828,102.5,234.0,Monopoly-inspired
12,Ra,1999.0,2.0,5.0,60.0,12.0,7.47505,7.35343,102.5,234.0,Collectible Games
13,Catan,1995.0,2.0,4.0,120.0,10.0,7.26569,7.12528,102.5,234.0,Sport Simulations
14,Basari,1998.0,2.0,4.0,30.0,10.0,6.78156,6.28866,102.5,234.0,Monopoly-inspired
15,Cosmic Encounter,1977.0,2.0,6.0,90.0,12.0,6.9347,6.59068,102.5,234.0,Co-op Games
16,MarraCash,1996.0,2.0,4.0,60.0,12.0,6.84341,6.1583,102.5,234.0,Monopoly-inspired
17,Button Men,1999.0,2.0,2.0,0.0,10.0,6.3087,5.82793,102.5,234.0,Classical Dice Games
18,RoboRally,1994.0,2.0,8.0,120.0,12.0,7.15355,7.04248,102.5,234.0,SciFi Games
19,Wacky Wacky West,1991.0,2.0,4.0,45.0,9.0,6.31166,5.97993,102.5,234.0,Co-op Games
20,Full Metal Planète,1988.0,2.0,4.0,90.0,12.0,7.43592,6.22524,102.5,234.0,SciFi Games
21,Gateway to the Stars,1981.0,2.0,7.0,0.0,12.0,5.35714,0.0,18.0,28.0,SciFi Games
22,Magic Realm,1979.0,2.0,12.0,127.5,12.0,7.14384,6.50366,102.5,234.0,Fantasy Miniatures
23,Divine Right,1979.0,2.0,6.0,127.5,12.0,6.95654,5.94175,102.5,234.0,SciFi Games
24,Twilight Imperium,1997.0,2.0,6.0,127.5,12.0,6.66812,5.9475,102.5,234.0,SciFi Games
25,Battlemist,1998.0,2.0,6.0,127.5,12.0,5.93231,5.58913,102.5,234.0,Fantasy Miniatures
