row_names,document,topic,gamma
1,The.Lounge..A.Mafia.Game,1,0.203125
2,Ultimate.Werewolf..Ultimate.Edition,1,0.2
3,Ultimate.Werewolf..Deluxe.Edition.For.Kickstarter,1,0.2
4,Werewolf,1,0.19480519480519481
5,Παλέρμο..Το.Μεγάλο.Ξεκαθάρισμα,1,0.19047619047619047
6,Ultimate.Werewolf..Whitebox.Edition,1,0.1875
7,Una.Notte.da.Lupi,1,0.18032786885245902
8,Mafia..Vendetta,1,0.16393442622950818
9,The.Werewolves.of.Miller.s.Hollow..The.Pact,1,0.16393442622950818
10,Ultimate.Werewolf..Deluxe.Edition,1,0.16176470588235295
11,Titan.Legions,2,0.208955223880597
12,De.Bellis.Antiquitatis,2,0.19402985074626866
13,Space.Hulk,2,0.1746031746031746
14,Space.Hulk..fourth.edition.,2,0.1746031746031746
15,Warhammer.40.000,2,0.171875
16,Space.Hulk..second.edition.,2,0.171875
17,Warhammer.40.000..Rogue.Trader,2,0.16666666666666666
18,Epic.Armageddon,2,0.16129032258064516
19,Space.Hulk..third.edition.,2,0.15384615384615385
20,Dust.Tactics..Allied.Taskforce.Joe.Starter.Set,2,0.15254237288135594
21,Levée.en.Masse,3,0.14754098360655737
22,A.Blood.Red.Banner..The.Alamo,3,0.14754098360655737
23,The.Lost.Cause,3,0.13333333333333333
24,A.Spoiled.Victory..Dunkirk.1940,3,0.13333333333333333
25,Vietnam.Solitaire.Special.Edition,3,0.13333333333333333
26,Zulus.on.the.Ramparts.,3,0.13114754098360656
27,Israeli.Independence,3,0.12903225806451613
28,Empires.in.America..second.edition.,3,0.12903225806451613
29,Empires.in.America,3,0.12698412698412698
30,Richard.III..The.Wars.of.the.Roses,3,0.125
31,X18Ardennes,4,0.20967741935483872
32,Harzbahn.1873,4,0.2
33,X1832,4,0.1864406779661017
34,Rail.USA,4,0.1864406779661017
35,American.Rails,4,0.18032786885245902
36,Wildcatters,4,0.18032786885245902
37,X1844.1854,4,0.18032786885245902
