row_names,topic,term,beta
1,1,Bluffing.category,0.18343593554991516
2,1,Deduction.category,0.16422431321955938
3,1,Partnerships.mechanic,0.0802260520817265
4,1,PartyGame.category,0.06634320090869571
5,1,Murder.Mystery.category,0.0486741175975656
6,1,RolePlaying.mechanic,0.040120037581859745
7,1,Voting.mechanic,0.037595882823126876
8,1,PlayerElimination.mechanic,0.03507172806439399
9,1,Betting.Wagering.mechanic,0.033108496585379524
10,1,Spies.SecretAgents.category,0.02974295690706903
11,2,ScienceFiction.category,0.25108010861277935
12,2,Miniatures.category,0.13149904361899922
13,2,ActionPointAllowanceSystem.mechanic,0.08668958414146413
14,2,DiceRolling.mechanic,0.07919904763178662
15,2,ModularBoard.mechanic,0.0717085111221091
16,2,VariablePlayerPowers.mechanic,0.053918486911625055
17,2,SpaceExploration.category,0.03733229892591057
18,2,Book.category,0.026765292064044082
19,2,VariablePhaseOrder.mechanic,0.022351225906555555
20,2,Aliens.family,0.012854295688928718
21,3,Print.Play.category,0.173300494055211
22,3,DiceRolling.mechanic,0.12785327879667502
23,3,PointtoPointMovement.mechanic,0.1208162906276114
24,3,SolitaireGames.family,0.0948673967541892
25,3,AreaMovement.mechanic,0.09222852619079035
26,3,Campaign.BattleCardDriven.mechanic,0.07771473809209659
27,3,ActionPointAllowanceSystem.mechanic,0.052205655979240886
28,3,SolitaireWargames.family,0.03021506795091701
29,3,SolitairePrintandPlayContest.family,0.007784668162026652
30,3,Area.Impulse.mechanic,0.005292401518816611
31,4,Economic.category,0.12450007507405032
32,4,TilePlacement.mechanic,0.0944704549487449
33,4,Pick.upandDeliver.mechanic,0.09392446185555751
34,4,Route.NetworkBuilding.mechanic,0.06990076575531319
35,4,Transportation.category,0.06662480719618896
36,4,Trains.category,0.05256548504661416
37,4,StockHolding.mechanic,0.04901652994089624
38,4,Auction.Bidding.mechanic,0.04423909037550675
39,4,CommoditySpeculation.mechanic,0.03891565771692989
40,4,Industry.Manufacturing.category,0.038642661170336205
41,5,CardGame.category,0.3701071207162526
42,5,HandManagement.mechanic,0.19666671472441283
43,5,SetCollection.mechanic,0.08723922665474836
44,5,Trick.taking.mechanic,0.06936174507287957
45,5,TraditionalCardGames.family,0.0240913481639538
46,5,RummyGames.family,0.01154827640893297
47,5,GameSystem.category,0.010827410216115683
48,5,SheddingGames.family,0.009385677830481104
49,5,UNO.family,0.00880898487622727
50,5,ClimbingGames.family,0.006069693343521575
51,6,Wargame.category,0.256986494357974
52,6,Hex.and.Counter.mechanic,0.20659432952682838
53,6,Napoleonic.category,0.06408745478928761
54,6,AmericanCivilWar.category,0.04566451280800855
55,6,Magazine.Strategy.Tactics.family,0.03753674428685605
56,6,Chit.PullSystem.mechanic,0.027377033635415392
57,6,AgeofReason.category,0.025616017122499012
58,6,CivilWar.category,0.01992657915769226
59,6,Magazine.VaeVictis.family,0.017894637027404126
60,6,Country.Spain.family,0.013966215575513747
61,7,Wargame.category,0.22264076409757197
